title,author,isbn,category,totalCopies,availableCopies,publishedYear
The Game,Neil Strauss,0060554738,Biography & Autobiography,100,100,2005
"The Lion, the Witch and the Wardrobe (picture book edition)",C. S. Lewis,0060556501,Juvenile Fiction,100,100,2004
Gold,Isaac Asimov,0060556528,Fiction,100,100,2003
The Kindness of Strangers,Katrina Kittle,0060564784,Fiction,100,100,2007
Built to Last,Jim Collins;Jerry I. Porras,0060566108,Business & Economics,100,100,2004
Fluke,Christopher Moore,006056668X,Fiction,100,100,2004
Lord of Light,Roger Zelazny,0060567236,Fiction,100,100,2004
The Perennial Philosophy,Aldous Huxley,006057058X,Philosophy,100,100,2004
A Crack in the Edge of the World,Simon Winchester,0060572000,History,100,100,2006
Dead Witch Walking,Kim Harrison,0060572965,Fiction,100,100,2004
"The Good, the Bad, and the Undead",Kim Harrison,0060572973,Fiction,100,100,2005
"Men Are from Mars, Women Are from Venus",John Gray,0060574216,Family & Relationships,100,100,2004
Sabriel (adult),Garth Nix,0060575816,Fiction,100,100,2004
Slouching Toward Nirvana,Charles Bukowski,0060577045,Poetry,100,100,2006
Bad Childhood---Good Life,Laura Schlessinger,006057786X,Self-Help,100,100,2006
Cat Cross Their Graves,Shirley Rousseau Murphy,0060578114,Fiction,100,100,2005
Cat Breaking Free,Shirley Rousseau Murphy,0060578122,Fiction,100,100,2006
Slider,Patrick Robinson,006058033X,Sports & Recreation,100,100,2004
The Black Dahlia Files,Don Wolfe,0060582502,True Crime,100,100,2006
Metro Girl,Janet Evanovich,0060584025,Fiction,100,100,2005
Motor Mouth,Janet Evanovich,0060584033,Fiction,100,100,2006
Mystic River,Dennis Lehane,0060584750,Fiction,100,100,2003
Great Short Works of Herman Melville,Herman Melville,0060586540,Fiction,100,100,2004
The Day I Swapped My Dad for Two Goldfish,Neil Gaiman,0060587032,Juvenile Fiction,100,100,2006
Eleven Minutes,Paulo Coelho,0060589280,Fiction,100,100,2005
Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,0060589469,Psychology,100,100,2006
Ulysses S. Grant,Michael Korda,0060590157,Biography & Autobiography,100,100,2004
A Dirty Job,Christopher Moore,0060590270,Fiction,100,100,2006
Quicksilver,Neal Stephenson,0060593083,Fiction,100,100,2004
Every Book Its Reader,Nicholas A. Basbanes,0060593245,Literary Criticism,100,100,2006
Flirting With Danger,Suzanne Enoch,0060593636,Fiction,100,100,2005
Lost Horizon,James Hilton,0060594527,Fiction,100,100,2004
The Doors of Perception and Heaven and Hell,Aldous Huxley,0060595183,Philosophy,100,100,2004
